Name,CEOTakeOver,CEOAge,CEOName,CEOGender,PresidentTakeOver,PresidentAge,PresidentName,PresidentGender
"Agilent Technologies, Inc.",2015,56,Michael McMullen,male,2015,56,Michael McMullen,male
"AAC Holdings, Inc.",2013,46,Michael Cartwright,male,2018,,Michael Nanko,male
"Applied Optoelectronics, Inc.",2014,54,Chih-Hsiang Lin,unknown,2014,54,Chih-Hsiang Lin,unknown
Advance Auto Parts Inc,2016,59,Thomas Greco,male,2016,59,Thomas Greco,male
"American Assets Trust, Inc.",2015,79,Ernest Rady,male,2015,79,Ernest Rady,male
Advantage Oil & Gas Ltd,2011,58,Andy Mah,male,2011,58,Andy Mah,male
Atlas Air Worldwide Holdings,2006,63,William Flynn,male,2006,63,William Flynn,male
iShares MSCI All Country Asia ex Japan Index Fund,,,,,,,,
"Renmin Tianli Group, Inc.",2016,53,Wocheng Liu,unknown,2013,,Tina Xiao,female
ABB Ltd,2013,53,Ulrich Spiesshofer,male,2017,54,Sami Atiya,male
AbbVie Inc.,2013,63,Richard Gonzalez,male,2013,49,William Chase,male
"Cambium Learning Group, Inc.",2013,54,John Campbell,male,,71,Bob Holl,male
Alcentra Capital Corp.,,53,David Peter Scopelliti,male,,,,
Abeona Therapeutics Inc.,2018,55,Frank Thiel,male,2018,,Timothy Miller,male
Ambev S.A.,,47,Bernardo  Pinto Paiva,male,,,,
Asbury Automotive Group Inc,2018,52,David Hult,male,2018,52,David Hult,male
"ARCA biopharma, Inc.",2009,71,Michael Bristow,male,2009,71,Michael Bristow,male
Ablynx NV,2013,61,Edwin Moses,male,,,Frank Landolt,male
Arbor Realty Trust,2003,54,Ivan Kaufman,male,2003,54,Ivan Kaufman,male